2026-03-24 14:38:27 INFO  PortalPage - successfully login
2026-03-24 14:39:15 INFO  PortalPage - successfully otp verified
2026-03-24 15:10:32 INFO  BaseTestPortal - successfully login
2026-03-24 15:10:32 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-24 15:10:32 INFO  BaseTestPortal - Waiting for verify button
2026-03-24 15:10:51 INFO  BaseTestPortal - Clicking verify button
2026-03-24 15:11:16 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-24 15:11:16 INFO  BaseTestPortal - successfully otp verified 
2026-03-24 16:38:04 INFO  BaseTestPortal - successfully login
2026-03-24 16:38:04 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-24 16:38:04 INFO  BaseTestPortal - Waiting for verify button
2026-03-24 16:38:23 INFO  BaseTestPortal - Clicking verify button
2026-03-24 16:38:48 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-24 16:38:48 INFO  BaseTestPortal - successfully otp verified 
2026-03-24 17:43:39 INFO  BaseTestPortal - successfully login
2026-03-24 17:43:39 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-24 17:43:39 INFO  BaseTestPortal - Waiting for verify button
2026-03-24 17:43:57 INFO  BaseTestPortal - Clicking verify button
2026-03-24 17:44:23 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-24 17:44:23 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 13:06:07 INFO  BaseTestPortal - successfully login
2026-03-25 13:06:07 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 13:06:07 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 13:06:27 INFO  BaseTestPortal - Clicking verify button
2026-03-25 13:07:35 INFO  BaseTestPortal - successfully login
2026-03-25 13:07:35 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 13:07:35 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 13:07:54 INFO  BaseTestPortal - Clicking verify button
2026-03-25 13:09:19 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-25 13:09:19 INFO  BaseTestPortal - successfully otp verified 
2026-03-25 14:14:02 INFO  BaseTestPortal - successfully login
2026-03-25 14:14:02 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-25 14:14:02 INFO  BaseTestPortal - Waiting for verify button
2026-03-25 14:14:21 INFO  BaseTestPortal - Clicking verify button
